PMT,Connector,Pin,hv_crate.board.channel,dm_amp_crate.slot.channel
0,0,0,1.3.0,0.9.0
1,0,1,1.3.1,0.10.0
2,0,2,1.3.2,0.9.8
3,0,3,1.3.3,0.9.1
4,1,0,1.4.0,0.0.0
5,1,1,1.4.1,0.0.8
6,0,4,1.3.4,0.9.9
7,0,5,1.3.5,0.10.1
8,0,6,1.3.6,0.9.2
9,0,7,1.3.7,0.10.2
10,0,8,1.3.8,0.9.10
11,1,2,1.4.2,0.1.0
12,1,3,1.4.3,0.0.9
13,1,4,1.4.4,0.0.1
14,1,5,1.4.5,0.1.1
15,7,0,1.10.0,0.8.0
16,0,9,1.3.9,0.9.3
17,0,10,1.3.10,0.9.11
18,0,11,1.3.11,0.10.3
19,0,12,1.3.12,0.9.12
20,0,13,1.3.13,0.9.4
21,1,6,1.4.6,0.0.10
22,1,7,1.4.7,0.1.2
23,1,8,1.4.8,0.0.2
24,1,9,1.4.9,0.0.11
25,1,10,1.4.10,0.1.3
26,1,11,1.4.11,0.0.3
27,7,1,1.10.1,0.8.8
28,7,2,1.10.2,0.7.8
29,0,14,1.3.14,0.10.4
30,0,15,1.3.15,0.9.5
31,0,16,1.3.16,0.9.13
32,0,17,1.3.17,0.10.5
33,0,18,1.3.18,0.9.14
34,1,12,1.4.12,0.0.4
35,1,13,1.4.13,0.0.12
36,1,14,1.4.14,0.1.4
37,1,15,1.4.15,0.0.5
38,1,16,1.4.16,0.0.13
39,1,17,1.4.17,0.1.5
40,7,3,1.10.3,0.7.9
41,7,4,1.10.4,0.8.1
42,7,5,1.10.5,0.8.9
43,0,19,1.3.19,0.9.15
44,0,20,1.3.20,0.10.6
45,0,21,1.3.21,0.9.7
46,0,22,1.3.22,0.9.6
47,0,23,1.3.23,0.10.7
48,1,18,1.4.18,0.0.14
49,1,19,1.4.19,0.0.6
50,1,20,1.4.20,0.1.6
51,1,21,1.4.21,0.0.15
52,1,22,1.4.22,0.1.7
53,2,0,1.5.0,0.1.8
54,7,6,1.10.6,0.8.10
55,7,7,1.10.7,0.7.10
56,7,8,1.10.8,0.8.2
