PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan
0,top,0.18.0,2.12.4,1247,154,0.9.0,,
1,top,1.1.0,2.14.1,1216,876,0.10.0,,
2,top,1.0.0,2.12.7,1352,154,0.9.8,,
3,top,0.18.1,2.11.1,1247,153,0.9.1,,
4,top,0.0.0,1.13.1,1249,1269,0.0.0,,
5,top,0.1.0,1.13.5,1244,1269,0.0.8,,
6,top,1.0.1,2.12.3,1352,154,0.9.9,,
7,top,1.1.1,2.14.3,1216,876,0.10.1,,
8,top,0.18.2,2.11.4,1247,153,0.9.2,,
9,top,1.1.2,2.14.2,1216,876,0.10.2,,
10,top,1.0.2,2.11.5,1352,153,0.9.10,,
11,top,0.2.0,1.16.0,1236,1371,0.1.0,,
12,top,0.1.1,1.13.4,1244,1269,0.0.9,,
13,top,0.0.1,1.14.1,1249,1325,0.0.1,,
14,top,0.2.1,1.15.3,1236,1370,0.1.1,,
15,top,0.16.0,2.10.7,1227,156,0.8.0,,
16,top,0.18.3,2.11.3,1247,153,0.9.3,,
17,top,1.0.3,2.11.6,1352,153,0.9.11,,
18,top,1.1.3,2.14.4,1216,876,0.10.3,,
19,top,1.0.4,2.12.6,1352,154,0.9.12,,
20,top,0.18.4,2.12.0,1247,154,0.9.4,,
21,top,0.1.2,1.14.7,1244,1325,0.0.10,,
22,top,0.2.2,1.15.4,1236,1370,0.1.2,,
23,top,0.0.2,1.13.0,1249,1269,0.0.2,,
24,top,0.1.3,1.14.2,1244,1325,0.0.11,,
25,top,0.2.3,1.16.5,1236,1371,0.1.3,,
26,top,0.0.3,1.14.3,1249,1325,0.0.3,,
27,top,0.17.0,2.10.5,1257,156,0.8.8,,
28,top,0.15.0,2.7.5,1161,1092,0.7.8,,
29,top,1.1.4,2.13.0,1216,117,0.10.4,,
30,top,0.18.5,2.11.2,1247,153,0.9.5,,
31,top,1.0.5,2.11.7,1352,153,0.9.13,,
32,top,1.1.5,2.14.5,1216,876,0.10.5,,
33,top,1.0.6,2.12.2,1352,154,0.9.14,,
34,top,0.0.4,1.14.4,1249,1325,0.0.4,,
35,top,0.1.4,1.14.5,1244,1325,0.0.12,,
36,top,0.2.4,1.15.5,1236,1370,0.1.4,,
37,top,0.0.5,1.13.2,1249,1269,0.0.5,,
38,top,0.1.5,1.14.6,1244,1325,0.0.13,,
39,top,0.2.5,1.15.6,1236,1370,0.1.5,,
40,top,0.15.1,2.7.3,1161,1092,0.7.9,,
41,top,0.16.1,2.10.4,1227,156,0.8.1,,
42,top,0.17.1,2.9.6,1257,167,0.8.9,,
43,top,1.0.7,2.11.0,1352,153,0.9.15,,
44,top,1.1.6,2.14.7,1216,876,0.10.6,,
45,top,0.18.7,2.12.5,1247,154,0.9.7,,
46,top,0.18.6,2.12.1,1247,154,0.9.6,,
47,top,1.1.7,2.13.1,1216,117,0.10.7,,
48,top,0.1.6,1.13.7,1244,1269,0.0.14,,
49,top,0.0.6,1.13.3,1249,1269,0.0.6,,
50,top,0.2.6,1.15.0,1236,1370,0.1.6,,
51,top,0.1.7,1.13.6,1244,1269,0.0.15,,
52,top,0.2.7,1.16.1,1236,1371,0.1.7,,
53,top,0.3.0,1.16.2,1234,1371,0.1.8,,
54,top,0.17.2,2.9.0,1257,167,0.8.10,,
55,top,0.15.2,2.8.3,1161,110,0.7.10,,
56,top,0.16.2,2.10.6,1227,156,0.8.2,,
57,top,0.17.3,2.9.4,1257,167,0.8.11,,
58,top,1.2.0,2.14.0,1253,876,0.10.8,,
59,top,1.3.0,2.16.4,1219,115,0.11.0,,
60,top,1.4.1,2.16.2,1163,115,0.11.8,,
61,top,1.6.0,2.18.0,1351,150,1.0.0,,
62,top,1.5.0,2.18.2,1349,150,1.0.8,,
63,top,1.7.1,2.19.0,1272,1402,1.1.0,,
64,top,1.6.1,2.18.3,1351,150,1.0.1,,
65,top,0.0.7,1.14.0,1249,1325,0.0.7,,
66,top,0.4.0,1.18.0,1246,1372,0.2.0,,
67,top,0.5.0,1.18.2,1239,1372,0.2.8,,
68,top,0.4.1,1.18.1,1246,1372,0.2.1,,
69,top,0.15.3,2.8.5,1161,110,0.7.11,,
70,top,0.16.3,2.10.2,1227,156,0.8.3,,
71,top,0.17.4,2.9.3,1257,167,0.8.12,,
72,top,0.15.4,2.7.6,1161,1092,0.7.12,,
73,top,0.16.4,2.10.3,1227,156,0.8.4,,
74,top,1.4.0,2.16.7,1163,115,0.11.9,,
75,top,1.2.1,2.13.4,1253,117,0.10.9,,
76,top,1.3.1,2.16.1,1219,115,0.11.1,,
77,top,1.7.0,2.19.5,1272,1402,1.1.1,,
78,top,1.6.2,2.17.2,1351,147,1.0.2,,
79,top,1.5.1,2.17.3,1349,147,1.0.9,,
80,top,0.3.1,1.16.4,1234,1371,0.1.9,,
81,top,0.5.1,1.17.0,1239,1328,0.2.9,,
82,top,0.4.2,1.17.1,1246,1328,0.2.2,,
83,top,0.3.2,1.15.7,1234,1370,0.1.10,,
84,top,0.5.2,1.18.6,1239,1372,0.2.10,,
85,top,0.16.5,2.10.0,1227,156,0.8.5,,
86,top,0.17.5,2.9.5,1257,167,0.8.13,,
87,top,0.15.5,2.8.6,1161,110,0.7.13,,
88,top,0.16.6,2.9.2,1227,167,0.8.6,,
89,top,0.17.6,2.9.7,1257,167,0.8.14,,
90,top,1.2.2,2.13.3,1253,117,0.10.10,,
91,top,1.3.2,2.15.0,1219,127,0.11.2,,
92,top,1.4.2,2.15.6,1163,127,0.11.10,,
93,top,1.2.3,2.14.6,1253,876,0.10.11,,
94,top,1.5.2,2.18.1,1349,150,1.0.10,,
95,top,1.7.3,2.19.3,1272,1402,1.1.2,,
96,top,1.6.3,2.18.6,1351,150,1.0.3,,
97,top,0.4.3,1.18.3,1246,1372,0.2.3,,
98,top,0.3.3,1.16.3,1234,1371,0.1.11,,
99,top,0.5.3,1.17.3,1239,1328,0.2.11,,
100,top,0.4.4,1.17.2,1246,1328,0.2.4,,
101,top,0.3.4,1.16.7,1234,1371,0.1.12,,
102,top,0.15.6,2.7.7,1161,1092,0.7.14,,
103,top,0.16.7,2.9.1,1227,167,0.8.7,,
104,top,0.17.7,2.10.1,1257,156,0.8.15,,
105,top,0.15.7,2.8.7,1161,110,0.7.15,,
106,top,1.3.3,2.15.2,1219,127,0.11.3,,
107,top,1.4.3,2.16.6,1163,115,0.11.11,,
108,top,1.2.4,2.13.5,1253,117,0.10.12,,
109,top,1.3.4,2.16.0,1219,115,0.11.4,,
110,top,1.6.4,2.18.7,1351,150,1.0.4,,
111,top,1.7.2,2.19.7,1272,1402,1.1.3,,
112,top,1.5.3,2.17.1,1349,147,1.0.11,,
113,top,1.7.4,2.19.6,1272,1402,1.1.4,,
114,top,0.5.4,1.17.4,1239,1328,0.2.12,,
115,top,0.4.5,1.17.6,1246,1328,0.2.5,,
116,top,0.3.5,1.15.2,1234,1370,0.1.13,,
117,top,0.5.5,1.17.7,1239,1328,0.2.13,,
118,top,0.12.0,2.6.6,1250,108,0.6.0,,
119,top,0.13.0,2.6.5,1254,108,0.6.8,,
120,top,0.14.0,2.8.0,1187,110,0.7.0,,
121,top,0.13.1,2.5.4,1254,171,0.6.9,,
122,top,1.4.4,2.15.5,1163,127,0.11.12,,
123,top,1.2.5,2.13.6,1253,117,0.10.13,,
124,top,1.3.5,2.16.3,1219,115,0.11.5,,
125,top,1.2.6,2.16.5,1253,115,0.11.13,,
126,top,1.4.5,2.13.2,1163,117,0.10.14,,
127,top,1.5.4,2.18.4,1349,150,1.0.12,,
128,top,1.6.5,2.18.5,1351,150,1.0.5,,
129,top,1.7.5,2.19.2,1272,1402,1.1.5,,
130,top,1.5.5,2.17.6,1349,147,1.0.13,,
131,top,0.3.6,1.15.1,1234,1370,0.1.14,,
132,top,0.5.6,1.18.7,1239,1372,0.2.14,,
133,top,0.4.6,1.18.5,1246,1372,0.2.6,,
134,top,0.3.7,1.16.6,1234,1371,0.1.15,,
135,top,0.14.1,2.7.1,1187,1092,0.7.1,,
136,top,0.12.1,2.6.0,1250,108,0.6.1,,
137,top,0.13.2,2.6.4,1254,108,0.6.10,,
138,top,0.14.2,2.8.1,1187,110,0.7.2,,
139,top,1.3.6,2.15.4,1219,127,0.11.6,,
140,top,1.4.6,2.15.7,1163,127,0.11.14,,
141,top,1.2.7,2.13.7,1253,117,0.10.15,,
142,top,1.3.7,2.15.1,1219,127,0.11.7,,
143,top,1.4.7,2.15.3,1163,127,0.11.15,,
144,top,1.6.6,2.17.0,1351,147,1.0.6,,
145,top,1.7.6,2.19.1,1272,1402,1.1.6,,
146,top,1.6.7,2.17.5,1351,147,1.0.7,,
147,top,1.5.6,2.17.7,1349,147,1.0.14,,
148,top,0.6.0,1.19.1,1242,1368,0.3.0,,
149,top,0.4.7,1.18.4,1246,1372,0.2.7,,
150,top,0.5.7,1.17.5,1239,1328,0.2.15,,
151,top,0.12.2,2.5.1,1250,171,0.6.2,,
152,top,0.13.3,2.5.3,1254,171,0.6.11,,
153,top,0.14.3,2.7.0,1187,1092,0.7.3,,
154,top,0.12.3,2.5.2,1250,171,0.6.3,,
155,top,0.13.4,2.5.7,1254,171,0.6.12,,
156,top,1.8.1,3.0.0,1348,991,1.1.8,,
157,top,1.9.0,3.1.0,1284,1311,1.2.0,,
158,top,1.10.1,3.2.0,1270,1369,1.2.8,,
